Summary,Issue key,Issue id,Project url,Priority,,Labels,Labels,Description,Environment
Multinomial logistic regression model fitting fails with ERROR StrongWolfeLineSearch,SPARK-21614,13091914,http://spark.apache.org,Major,model,,,"Fitting a simple multinomial logistic regression model fails with:

17/08/02 14:53:23 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:23 ERROR LBFGS: Failure! Resetting history: breeze.optimize.FirstOrderException: Line search failed

Example repro case:


from pyspark.sql import Row
from pyspark.ml.linalg import Vectors
from pyspark.ml.classification import LogisticRegression

df = spark.createDataFrame([
    Row(label=0, features=Vectors.dense([0.0, 0.0, 0.0, 0.0, 2.9, 0.0, 2.9, 2.9, 0.0, 0.0, 0.0, 0.0, 2.9, 0.0, 0.0, 2.9, 2.9, 0.0, 0.0, 0.0, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9, 2.9, 2.9, 2.9, 0.0, 2.9, 0.0, 0.0, 2.9, 0.0, 2.9, 2.9, 0.0, 2.9, 2.9, 0.0, 0.0, 2.9, 2.9, 2.9, 0.0, 2.9, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9, 2.9, 0.0, 2.9, 2.9, 2.9, 2.9, 0.0, 0.0, 2.9, 2.9, 0.0, 0.0, 0.0, 2.9, 2.9, 0.0, 2.9, 2.9, 2.9, 0.0, 0.0, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0])),
    Row(label=1, features=Vectors.dense([1.8, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 1.9, 1.9, 1.9, 1.9, 1.9, 1.8, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 0.0, 1.9, 0.0, 1.9, 1.9, 0.0, 1.9, 1.9, 0.0, 1.8, 1.9, 0.0, 0.0, 1.9, 0.0, 1.9, 0.0, 1.9, 1.9, 1.9, 1.9, 0.0, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 1.9, 1.9, 0.0, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 0.0, 0.0, 0.0, 1.9, 0.0, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 0.0, 0.0, 1.9, 1.9, 0.0, 0.0, 0.0])),
    Row(label=2, features=Vectors.dense([0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 1.6, 0.0, 1.6, 1.6, 1.6, 0.0, 1.6, 1.6, 0.0, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 1.6, 1.6, 1.6, 0.0, 0.0, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 0.0, 0.0, 0.0, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 0.0, 1.6, 1.6, 0.0, 1.6, 1.6, 0.0, 0.0, 1.6])),
    Row(label=3, features=Vectors.dense([0.0, 0.0, 0.0, 1.4, 0.7, 1.1, 0.0, 0.0, 0.7, 0.0, 1.4, 1.1, 1.4, 0.0, 1.1, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1, 0.0, 0.0, 0.0, 0.7, 0.0, 0.7, 0.0, 0.0, 1.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 1.4, 0.0, 0.0, 0.0, 0.0, 1.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 1.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4, 0.7, 0.0, 0.0, 0.0, 0.0, 1.4, 0.7, 1.9, 0.0, 0.0, 0.0, 1.1, 1.4, 0.0, 0.0, 0.0, 2.1, 2.1, 2.1, 1.6, 1.9, 1.8, 2.1, 2.1, 1.9, 2.1, 1.6, 1.8, 1.6, 2.1, 1.8, 1.9, 2.1, 2.1, 2.1, 2.1, 2.1, 1.8, 2.1, 0.0, 1.9, 2.1, 0.0, 2.1, 2.1, 0.0, 1.8, 2.1, 2.1, 0.0, 1.9, 0.0, 1.9, 0.0, 2.1, 1.8, 2.1, 2.1, 0.0, 2.1, 0.0, 0.0, 1.9, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1, 2.1, 2.1, 1.9, 2.1, 2.1, 2.1, 1.8, 2.1, 2.1, 2.1, 0.0, 0.0, 0.0, 1.6, 1.9, 2.1, 2.1, 2.1, 2.1, 1.6, 1.9, 0.7, 2.1, 0.0, 0.0, 1.8, 1.6, 0.0, 0.0, 2.1])),
    Row(label=4, features=Vectors.dense([0.0, 2.8, 2.8, 0.0, 0.0, 2.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8, 0.0, 2.8, 0.0, 2.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8, 0.0, 0.0, 2.8, 2.8, 0.0, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 0.0, 2.8, 0.0, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 0.0, 0.0, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 0.0, 2.8, 0.0, 0.0, 0.0, 2.8, 0.0, 0.0, 2.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 0.0, 0.0, 0.0, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 0.0, 2.8, 2.8, 0.0, 0.0, 2.8])),
    Row(label=5, features=Vectors.dense([0.0, 0.0, 0.0, 0.0, 0.0, 2.6, 0.0, 0.0, 0.0, 1.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4, 1.1, 2.6, 0.0, 0.0, 0.0, 0.0, 2.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1, 0.0, 2.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4, 0.0, 0.0, 0.0, 1.1, 2.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6, 2.6, 2.6, 2.6, 2.6, 0.0, 2.6, 2.6, 2.6, 2.4, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 1.1, 2.6, 2.6, 0.0, 2.6, 2.6, 1.1, 2.4, 0.0, 2.6, 0.0, 2.6, 0.0, 1.1, 0.0, 0.0, 0.0, 2.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 2.4, 2.6, 0.0, 2.6, 0.0, 0.0, 0.0, 2.6, 2.6, 2.6, 1.1, 2.6, 2.6, 2.6, 2.4, 0.0, 2.6, 0.0, 0.0, 2.6, 2.6, 0.0, 0.0, 2.6])),
])

lr = LogisticRegression()
model = lr.fit(df)

'''
17/08/02 14:53:21 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:22 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:22 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:22 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:22 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:22 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:22 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:23 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:23 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:23 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:23 ERROR LBFGS: Failure! Resetting history: breeze.optimize.FirstOrderException: Line search failed
17/08/02 14:53:23 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:24 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:24 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:24 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:24 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:24 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:24 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:25 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:25 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:25 ERROR StrongWolfeLineSearch: Encountered bad values in function evaluation. Decreasing step size to NaN
17/08/02 14:53:25 ERROR LBFGS: Failure again! Giving up and returning. Maybe the objective is just poorly behaved?
'''


I'm on Amazon EMR release emr-5.3.1 running Spark 2.1.0
",
Debug issues for SparkML(scala.Predef$.any2ArrowAssoc),SPARK-21557,13090715,http://spark.apache.org,Critical,usability,,,"Hi Team,

Can you please see the below error ,when I am running the below program using below mvn config.Kindly tell me which version I have to use.I am running this program from eclipse neon.

Error at Runtime:- 

Exception in thread ""main"" java.lang.NoSuchMethodError: scala.Predef$.any2ArrowAssoc(Ljava/lang/Object;)Ljava/lang/Object;
	at org.apache.spark.sql.SparkSession$Builder.config(SparkSession.scala:750)
	at org.apache.spark.sql.SparkSession$Builder.appName(SparkSession.scala:741)
	at com.MLTest.JavaPCAExample.main(JavaPCAExample.java:20)

Java Class:-

package com.MLTest;

import org.apache.spark.sql.SparkSession;

import java.util.Arrays;
import java.util.List;
import org.apache.spark.ml.feature.PCA;
import org.apache.spark.ml.feature.PCAModel;
import org.apache.spark.ml.linalg.VectorUDT;
import org.apache.spark.ml.linalg.Vectors;
import org.apache.spark.sql.Dataset;
import org.apache.spark.sql.Row;
import org.apache.spark.sql.RowFactory;
import org.apache.spark.sql.types.Metadata;
import org.apache.spark.sql.types.StructField;
import org.apache.spark.sql.types.StructType;

public class JavaPCAExample {
	public static void main(String[] args) {
		SparkSession spark = SparkSession.builder().appName(""JavaPCAExample3"")
				.config(""spark.some.config.option"", ""some-value"").getOrCreate();

		List<Row> data = Arrays.asList(
				RowFactory.create(Vectors.sparse(5, new int[] { 1, 3 }, new double[] { 1.0, 7.0 })),
				RowFactory.create(Vectors.dense(2.0, 0.0, 3.0, 4.0, 5.0)),
				RowFactory.create(Vectors.dense(4.0, 0.0, 0.0, 6.0, 7.0)));

		StructType schema = new StructType(
				new StructField[] { new StructField(""features"", new VectorUDT(), false, Metadata.empty()), });

		Dataset<Row> df = spark.createDataFrame(data, schema);

		PCAModel pca = new PCA().setInputCol(""features"").setOutputCol(""pcaFeatures"").setK(3).fit(df);

		Dataset<Row> result = pca.transform(df).select(""pcaFeatures"");
		result.show(false);

		spark.stop();
	}
}

pom.xml:-

<project xmlns=""http://maven.apache.org/POM/4.0.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
	xsi:schemaLocation=""http://maven.apache.org/POM/4.0.0 http://maven.apache.org/xsd/maven-4.0.0.xsd"">
	<modelVersion>4.0.0</modelVersion>
	<groupId>SparkMLTest</groupId>
	<artifactId>SparkMLTest</artifactId>
	<version>0.0.1-SNAPSHOT</version>
	<build>
		<sourceDirectory>src</sourceDirectory>
		<plugins>
			<plugin>
				<artifactId>maven-compiler-plugin</artifactId>
				<version>3.5.1</version>
				<configuration>
					<source>1.8</source>
					<target>1.8</target>
				</configuration>
			</plugin>
		</plugins>
	</build>
	<dependencies>
		<dependency>
			<groupId>org.apache.spark</groupId>
			<artifactId>spark-core_2.10</artifactId>
			<version>2.2.0</version>
		</dependency>
		<dependency>
			<groupId>org.apache.spark</groupId>
			<artifactId>spark-streaming_2.10</artifactId>
			<version>2.1.1</version>
		</dependency>
		<dependency>
			<groupId>org.apache.spark</groupId>
			<artifactId>spark-mllib_2.10</artifactId>
			<version>2.1.1</version>
			<scope>provided</scope>
		</dependency>
		<dependency>
			<groupId>org.apache.spark</groupId>
			<artifactId>spark-sql_2.10</artifactId>
			<version>2.1.1</version>
		</dependency>
		<dependency>
			<groupId>org.scala-lang</groupId>
			<artifactId>scala-library</artifactId>
			<version>2.13.0-M1</version>
		</dependency>
		<dependency>
			<groupId>org.apache.parquet</groupId>
			<artifactId>parquet-hadoop-bundle</artifactId>
			<version>1.8.1</version>
		</dependency>
	</dependencies>
</project>



",
Fix bug of strong wolfe linesearch `init` parameter lose effectiveness,SPARK-21523,13089729,http://spark.apache.org,Critical,param,,,"We need merge this breeze bugfix into spark because it influence a series of algos in MLlib which use LBFGS.
https://github.com/scalanlp/breeze/pull/651",
java.lang.NullPointerException for certain methods in classes of MLlib,SPARK-21331,13085334,http://spark.apache.org,Major,usability,,,"I am trying to run the following code using sbt package and sbt run. I am getting a runtime error that seems to be a bug since the same code works great on spark-shell with Scala. The error occurs when executing the computeSVD line. If this line is commented out, the program works fine. I am having similar issues for other methods for classes in MLlib as well. This looks like a bug to me.",Spark running locally on OSX at spark://127.0.0.1:7077.
OOM with 2 handred million vertex when mitrx multply,SPARK-21118,13080331,http://spark.apache.org,Major,memory,,,"i have 2 matrix each one is 200milions*200milions.
i want to multiply them ,but run out with oom .
finally i find the oom appear at blockmatrix.simulateMultiply . there is a collect action at this method. 
 the collect will return all dataset that is too large to driver so the driver will go to oom.

class BlockMatrix @Since(""1.3.0"") (
private[distributed] def simulateMultiply(
      other: BlockMatrix,
      partitioner: GridPartitioner): (BlockDestinations, BlockDestinations) = {
    val leftMatrix = {color:red}blockInfo.keys.collect() {color}// blockInfo should already be cached
    val rightMatrix = other.blocks.keys.collect()
......

","on yarn cluster,19 node.30GB per node"
Should we create a constructor for LabelsPoint which is using ml.linalg.Vectors?,SPARK-20893,13075071,http://spark.apache.org,Major,,,,"From Spark2.0 org.apache.spark.mllib.linalg.Vectors;
was deprecated by org.apache.spark.ml.linalg.Vectors;

But for LabelsPoint, 
https://spark.apache.org/docs/2.1.0/api/java/org/apache/spark/mllib/regression/LabeledPoint.html

the only constructor as LabeledPoint(double label, Vector features) 
is using mllib.linalg.Vectors, should we create another version which is using 
ml.linalg.Vectors?",
LogisticRegressionModel throws TypeError,SPARK-20862,13074377,http://spark.apache.org,Minor,data formats,,,"LogisticRegressionModel throws a TypeError using python3 and numpy 1.12.1:

**********************************************************************
File ""/Users/bago/repos/spark/python/pyspark/mllib/classification.py"", line 155, in __main__.LogisticRegressionModel
Failed example:
    mcm = LogisticRegressionWithLBFGS.train(data, iterations=10, numClasses=3)
Exception raised:
    Traceback (most recent call last):
      File ""/usr/local/Cellar/python3/3.6.1/Frameworks/Python.framework/Versions/3.6/lib/python3.6/doctest.py"", line 1330, in __run
        compileflags, 1), test.globs)
      File ""<doctest __main__.LogisticRegressionModel[23]>"", line 1, in <module>
        mcm = LogisticRegressionWithLBFGS.train(data, iterations=10, numClasses=3)
      File ""/Users/bago/repos/spark/python/pyspark/mllib/classification.py"", line 398, in train
        return _regression_train_wrapper(train, LogisticRegressionModel, data, initialWeights)
      File ""/Users/bago/repos/spark/python/pyspark/mllib/regression.py"", line 216, in _regression_train_wrapper
        return modelClass(weights, intercept, numFeatures, numClasses)
      File ""/Users/bago/repos/spark/python/pyspark/mllib/classification.py"", line 176, in __init__
        self._dataWithBiasSize)
    TypeError: 'float' object cannot be interpreted as an integer
",
ALS with implicit feedback ignores negative values,SPARK-20790,13072912,http://spark.apache.org,Major,,,,"The refactorization that was done in https://github.com/apache/spark/pull/5314/files introduced a bug, whereby for implicit feedback negative ratings just get ignored. Prior to that commit they were not ignored, but the absolute value was used as the confidence and the  preference was set to 0. The preservation of comments and absolute value indicate that this was unintentional.",
mllib.Matrices.fromBreeze may crash when converting from Breeze sparse matrix,SPARK-20687,13070680,http://spark.apache.org,Minor,,,,"Conversion of Breeze sparse matrices to Matrix is broken when matrices are product of certain operations. This problem I think is caused by the update method in Breeze CSCMatrix when they add provisional zeros to the data for efficiency.

This bug is serious and may affect at least BlockMatrix addition and substraction

http://stackoverflow.com/questions/33528555/error-thrown-when-using-blockmatrix-add/43883458#43883458

The following code, reproduces the bug (Check test(""breeze conversion bug""))

https://github.com/ghoto/spark/blob/test-bug/CSCMatrixBreeze/mllib/src/test/scala/org/apache/spark/mllib/linalg/MatricesSuite.scala

{code:title=MatricesSuite.scala|borderStyle=solid}

  test(""breeze conversion bug"") {
    // (2, 0, 0)
    // (2, 0, 0)
    val mat1Brz = Matrices.sparse(2, 3, Array(0, 2, 2, 2), Array(0, 1), Array(2, 2)).asBreeze
    // (2, 1E-15, 1E-15)
    // (2, 1E-15, 1E-15
    val mat2Brz = Matrices.sparse(2, 3, Array(0, 2, 4, 6), Array(0, 0, 0, 1, 1, 1), Array(2, 1E-15, 1E-15, 2, 1E-15, 1E-15)).asBreeze
    // The following shouldn't break
    val t01 = mat1Brz - mat1Brz
    val t02 = mat2Brz - mat2Brz
    val t02Brz = Matrices.fromBreeze(t02)
    val t01Brz = Matrices.fromBreeze(t01)

    val t1Brz = mat1Brz - mat2Brz
    val t2Brz = mat2Brz - mat1Brz
    // The following ones should break
    val t1 = Matrices.fromBreeze(t1Brz)
    val t2 = Matrices.fromBreeze(t2Brz)

  }

{code}",
result of MLlib KMeans cluster is not stabilize,SPARK-20634,13069863,http://spark.apache.org,Critical,,,,"1.Get a DataFrame through python with Cx_Oracle lib.
2.Start a local Spark Session.
3.Convert the dataset for Kmeansmodel train.
4.Train the KMeans model and predict the same data.just set K =3
5.Get the ClassifierFeature of the KMeans model'predict.
6.Get the count of every ClassifierFeature.
7.Loop 4-6 for 20 times.
8.Compare the result of every time.
9.Find the KMeans result dose not stabilize.
10.The same dataset and param for ML package'KMeans, its result is the same.
","Windows 10
spark 2.0.2 standalone
spyder 3.1.4
Anaconda 4.3.0
python 3.5.2"
SparseVector.argmax throws IndexOutOfBoundsException when the sparse vector has a size greater than zero but no elements defined.,SPARK-20615,13069489,http://spark.apache.org,Minor,,,,"org.apache.spark.ml.linalg.SparseVector.argmax throws an IndexOutOfRangeException when the vector size is greater than zero and no values are defined.  The toString() representation of such a vector is "" (100000,[],[])"".  This is because the argmax function tries to get the value at indexes(0) without checking the size of the array.

Code inspection reveals that the mllib version of SparseVector should have the same issue.",
Load doesn't work in PCAModel ,SPARK-20526,13067770,http://spark.apache.org,Major,"io, model",,,"Error occurs during loading PCAModel. Saved model doesn't load.

",Windows
"pyspark.sql.utils.IllegalArgumentException: u'DecisionTreeClassifier was given input with invalid label column label, without the number of classes specified. See StringIndexer",SPARK-20445,13066282,http://spark.apache.org,Major,job,,," #Load the CSV file into a RDD
    irisData = sc.textFile(""/home/infademo/surya/iris.csv"")
    irisData.cache()
    irisData.count()

    #Remove the first line (contains headers)
    dataLines = irisData.filter(lambda x: ""Sepal"" not in x)
    dataLines.count()

    from pyspark.sql import Row
    #Create a Data Frame from the data
    parts = dataLines.map(lambda l: l.split("",""))
    irisMap = parts.map(lambda p: Row(SEPAL_LENGTH=float(p[0]),\
                                    SEPAL_WIDTH=float(p[1]), \
                                    PETAL_LENGTH=float(p[2]), \
                                    PETAL_WIDTH=float(p[3]), \
                                    SPECIES=p[4] ))

    # Infer the schema, and register the DataFrame as a table.
    irisDf = sqlContext.createDataFrame(irisMap)
    irisDf.cache()

    #Add a numeric indexer for the label/target column
    from pyspark.ml.feature import StringIndexer
    stringIndexer = StringIndexer(inputCol=""SPECIES"", outputCol=""IND_SPECIES"")
    si_model = stringIndexer.fit(irisDf)
    irisNormDf = si_model.transform(irisDf)

    irisNormDf.select(""SPECIES"",""IND_SPECIES"").distinct().collect()
    irisNormDf.cache()

    """"""--------------------------------------------------------------------------
    Perform Data Analytics
    -------------------------------------------------------------------------""""""

    #See standard parameters
    irisNormDf.describe().show()

    #Find correlation between predictors and target
    for i in irisNormDf.columns:
        if not( isinstance(irisNormDf.select(i).take(1)[0][0], basestring)) :
            print( ""Correlation to Species for "", i, \
                        irisNormDf.stat.corr('IND_SPECIES',i))



    #Transform to a Data Frame for input to Machine Learing
    #Drop columns that are not required (low correlation)

    from pyspark.mllib.linalg import Vectors
    from pyspark.mllib.linalg import SparseVector
    from pyspark.mllib.regression import LabeledPoint
    from pyspark.mllib.util import MLUtils
    import org.apache.spark.mllib.linalg.{Matrix, Matrices}
    from pyspark.mllib.linalg.distributed import RowMatrix

    from pyspark.ml.linalg import Vectors
    pyspark.mllib.linalg.Vector
    def transformToLabeledPoint(row) :
        lp = ( row[""SPECIES""], row[""IND_SPECIES""], \
                    Vectors.dense([row[""SEPAL_LENGTH""],\
                            row[""SEPAL_WIDTH""], \
                            row[""PETAL_LENGTH""], \
                            row[""PETAL_WIDTH""]]))
        return lp




    irisLp = irisNormDf.rdd.map(transformToLabeledPoint)
    irisLpDf = sqlContext.createDataFrame(irisLp,[""species"",""label"", ""features""])
    irisLpDf.select(""species"",""label"",""features"").show(10)
    irisLpDf.cache()

    """"""--------------------------------------------------------------------------
    Perform Machine Learning
    -------------------------------------------------------------------------""""""
    #Split into training and testing data
    (trainingData, testData) = irisLpDf.randomSplit([0.9, 0.1])
    trainingData.count()
    testData.count()
    testData.collect()

    from pyspark.ml.classification import DecisionTreeClassifier
    from pyspark.ml.evaluation import MulticlassClassificationEvaluator

    #Create the model
    dtClassifer = DecisionTreeClassifier(maxDepth=2, labelCol=""label"",\
                    featuresCol=""features"")

   dtModel = dtClassifer.fit(trainingData)
   
   issue part:-
   
   dtModel = dtClassifer.fit(trainingData) Traceback (most recent call last): File """", line 1, in File ""/opt/mapr/spark/spark-1.6.1-bin-hadoop2.6/python/pyspark/ml/pipeline.py"", line 69, in fit return self._fit(dataset) File ""/opt/mapr/spark/spark-1.6.1-bin-hadoop2.6/python/pyspark/ml/wrapper.py"", line 133, in _fit java_model = self._fit_java(dataset) File ""/opt/mapr/spark/spark-1.6.1-bin-hadoop2.6/python/pyspark/ml/wrapper.py"", line 130, in _fit_java return self._java_obj.fit(dataset._jdf) File ""/opt/mapr/spark/spark-1.6.1-bin-hadoop2.6/python/lib/py4j-0.9-src.zip/py4j/java_gateway.py"", line 813, in call File ""/opt/mapr/spark/spark-1.6.1-bin-hadoop2.6/python/pyspark/sql/utils.py"", line 53, in deco raise IllegalArgumentException(s.split(': ', 1)[1], stackTrace) pyspark.sql.utils.IllegalArgumentException: u'DecisionTreeClassifier was given input with invalid label column label, without the number of classes specified. See StringIndexer.'",
